select,engels,italiaans,reflexieve,prefix,infinitief,imperfectum singularis,imperfectum pluralis,participium,auxiliare,klasse ,vocaalverandering,,
1,enjoy,godere,,ge,nieten ,genoot,genoten,genoten ,hebben,2A,i:-o:-o:,,
,,,,,rieken ,rook,,geroken ,,2A,i:-o:-o:,,
1,shoot,sparare,,,schieten ,schoot,schoten,geschoten ,hebben,2A,i:-o:-o:,,
,flee,fuggire,,,vlieden,vlood,vloden,gevloden ,hebben,2A,i:-o:-o:,,
1,fly,volare,,,vliegen ,vloog,vlogen,gevlogen ,hebben/zijn,2A,i:-o:-o:,,
,flow,fluire,,,vlieten,vloot,vloten,gevloten ,hebben,2A,i:-o:-o:,,
,seething,ribollente,,,zieden ,zood,zoden,gezoden ,hebben,2A,i:-o:-o:,,
1,lose,"smarrire, perdere",,ver,liezen,verloor,verloren,verloren,hebben,"2A, onregelmatig",i:-o:-o:,,
,,,,,vriezen[17] ,vroor,,gevroren ,,"2A, onregelmatig",i:-o:-o:,,
,,,,,buigen ,boog,,gebogen ,,2B,ui-o:-o:,,
,,,,,druipen ,droop,,gedropen ,,2B,ui-o:-o:,,
,,,,,duiken ,dook,,gedoken ,,2B,ui-o:-o:,,
,whistle,fischiare,,,fluiten,floot,floten,gefloten ,hebben,2B,ui-o:-o:,,
,,,,,kluiven ,kluifde[2],,gekluifd[2] ,kloof,,gekloven ,,2B
,,,,,kruipen ,kroop,,gekropen ,,2B,ui-o:-o:,,
,,,,,luiken ,look,,geloken[5] ,,2B,ui-o:-o:,,
,,,,,pluizen ,ploos,,geplozen ,,2B,ui-o:-o:,,
,,,,,ruiken ,rook,,geroken ,,2B,ui-o:-o:,,
,,,,,schuilen ,schuilde,,geschuild ,school,,gescholen ,,2B
,,,,,schuiven ,schoof,,geschoven ,,2B,ui-o:-o:,,
,,,,,sluipen ,sloop,,geslopen ,,2B,ui-o:-o:,,
1,"shut, close",chiudere,,,sluiten ,sloot,sloten,gesloten ,hebben,2B,ui-o:-o:,,
1,"conclude, decide",decidere,,be,sluiten ,besloot,besloten,besloten ,hebben,2B,ui-o:-o:,,
,,,,,snuiten ,snoot,,gesnoten ,,2B,ui-o:-o:,,
,,,,,snuiven ,snoof,,gesnoven ,,2B,ui-o:-o:,,
,,,,,spruiten ,sproot,,gesproten[5] ,,2B,ui-o:-o:,,
,,,,,spuiten ,spoot,,gespoten ,,2B,ui-o:-o:,,
,,,,,stuiven ,stoof,,gestoven ,,2B,ui-o:-o:,,
,,,,,wuiven ,wuifde,,gewuifd ,woof[2],,gewoven[2] ,,2B
,,,,,zuigen ,zoog,,gezogen ,,2B,ui-o:-o:,,
,,,,,zuipen ,zoop,,gezopen ,,2B,ui-o:-o:,,
,,,,,spugen ,spuugde,,gespuugd,spoog,,gespogen ,,Andere klinkerwisseling (voorheen Klasse 2b) 
,,,,,spuwen ,spuwde,,gespuwd ,spoog,,gespogen ,,Andere klinkerwisseling (voorheen Klasse 2b) 
1,"bind, fasten",legare,,,binden ,bond,bonden,gebonden ,hebben,3A,i-o-o,,
1,"connect, join","collegare, connettere",,ver,binden ,verbond,verbonden,verbonden,hebben,3A,i-o-o,,
,,,,,blinken ,blonk,,geblonken ,,3A,i-o-o,,
,,,,,dingen ,dong,,gedongen ,,3A,i-o-o,,
,,,,,dringen ,drong,,gedrongen ,,3A,i-o-o,,
